"timestamp","pm25_value","pm10_value","AQI","Temperature","tempmax","tempmin","feelslikemax","feelslikemin","humidity","precip","windspeed","conditions","heat_index","congestion_index","special_event"
"2015-03-24 11:00:00","77","115","154","31","35","18","34","18","40","0","11","Clear","187","39","No Event"
"2015-03-25 11:00:00","108","162","258","32","35","19","35","19","43","0","13","Partially cloudy","178","45","No Event"
"2015-03-26 11:00:00","61","92","101","33","36","20","37","20","44","0","55","Partially cloudy","174","47","No Event"
"2015-03-27 11:00:00","109","164","262","20","35","23","35","23","\N","0","22","Partially cloudy","154","48","No Event"
"2015-03-28 11:00:00","57","85","95","32","35","19","35","19","39","0","13","Clear","168","55","No Event"
"2015-03-29 11:00:00","38","57","62","28","31","22","29","22","49","0","22","Partially cloudy","176","68","No Event"
"2015-03-30 11:00:00","18","26","29","26","27","18","28","18","74","9","24",""Rain"," Partially cloudy"","218","40","No Event"
"2015-03-31 11:00:00","23","35","38","28","31","20","31","20","66","0","18","Partially cloudy","203","35","No Event"
"2015-04-13 11:00:00","248","372","398","29","32","20","33","20","57","2","22",""Rain"," Partially cloudy"","207","59","No Event"
"2015-04-14 11:00:00","64","96","110","29","31","21","32","21","56","0","18","Partially cloudy","191","61","No Event"
"2015-04-15 11:00:00","124","186","303","25","34","22","36","22","\N","0","15",""Rain"," Partially cloudy"","180","56","No Event"
"2015-04-17 11:00:00","23","34","38","31","36","20","37","20","44","0","24","Clear","175","52","No Event"
"2015-04-18 11:00:00","62","93","104","33","38","23","37","23","44","0","15","Clear","147","69","No Event"
"2015-04-19 11:00:00","76","113","151","36","41","23","40","23","32","0","13","Clear","135","68","No Event"
"2015-04-20 11:00:00","151","227","324","23","40","27","41","28","\N","0","18","Partially cloudy","124","32","No Event"
"2015-04-21 11:00:00","47","71","78","35","38","26","37","26","37","0","25","Clear","129","37","No Event"
"2015-04-22 11:00:00","68","102","126","35","38","23","36","23","25","0","26","Clear","111","35","No Event"
"2015-04-23 11:00:00","78","116","157","36","39","23","37","23","22","0","27","Clear","114","59","No Event"
"2015-04-24 11:00:00","82","123","174","37","40","25","43","25","24","0","11","Clear","109","63","No Event"
"2015-04-25 11:00:00","60","90","100","32","37","24","38","24","42","0","22","Clear","134","39","No Event"
"2015-04-26 11:00:00","19","29","32","30","34","24","36","24","51","0","24","Clear","161","50","No Event"
"2015-04-27 11:00:00","25","37","41","32","37","25","40","25","52","0","28","Clear","155","64","No Event"
"2015-04-28 11:00:00","69","104","128","33","37","24","41","24","46","0","26","Partially cloudy","150","59","No Event"
"2015-04-29 11:00:00","60","90","99","33","36","25","38","25","45","0","15","Clear","150","52","No Event"
"2015-04-30 11:00:00","25","37","41","34","40","26","43","26","39","0","26","Clear","136","54","No Event"
"2015-05-13 11:00:00","22","33","37","32","36","24","38","24","59","2","18",""Rain"," Partially cloudy"","174","70","No Event"
"2015-05-14 11:00:00","24","36","40","32","37","23","38","23","49","0","15","Partially cloudy","164","34","No Event"
"2015-05-15 11:00:00","41","62","68","34","36","25","37","25","45","0","17",""Rain"," Partially cloudy"","167","46","No Event"
"2015-05-16 11:00:00","24","36","40","34","37","23","39","23","42","0","15","Clear","160","62","No Event"
"2015-05-17 11:00:00","34","51","56","36","40","26","41","26","38","0","18","Clear","139","38","No Event"
"2015-05-19 11:00:00","21","32","35","39","42","25","44","25","34","0","46",""Rain"," Partially cloudy"","138","59","No Event"
